industry_category,stock_id,stock_name,type,date
封閉式基金,0001,鴻運,twse,2024-12-05
封閉式基金,0002,福元,twse,2024-12-05
封閉式基金,0003,成長,twse,2024-12-05
封閉式基金,0004,國民,twse,2024-12-05
封閉式基金,0005,成功,twse,2024-12-05
封閉式基金,0006,鴻福,twse,2024-12-05
封閉式基金,0007,成龍,twse,2024-12-05
封閉式基金,0010,萬寶,twse,2024-12-05
封閉式基金,0011,和信,twse,2024-12-05
封閉式基金,0012,多元,twse,2024-12-05
封閉式基金,0013,永昌,twse,2024-12-05
封閉式基金,0014,統信,twse,2024-12-05
封閉式基金,0015,富邦,twse,2024-12-05
封閉式基金,0016,先鋒,twse,2024-12-05
封閉式基金,0018,怡富,twse,2024-12-05
封閉式基金,0019,鑽石,twse,2024-12-05
封閉式基金,0020,元富金,twse,2024-12-05
封閉式基金,0021,富貴,twse,2024-12-05
封閉式基金,0022,怡富日,twse,2024-12-05
封閉式基金,0023,中小型,twse,2024-12-05
封閉式基金,0024,元滿,twse,2024-12-05
封閉式基金,0025,大發,twse,2024-12-05
封閉式基金,0026,金鼎概,twse,2024-12-05
封閉式基金,0027,中國金,twse,2024-12-05
封閉式基金,0028,群益店,twse,2024-12-05
封閉式基金,0029,富邦店,twse,2024-12-05
封閉式基金,0030,富鼎,twse,2024-12-05
ETF,0050,元大台灣50,twse,2025-11-15
ETF,0051,元大中型100,twse,2025-11-15
ETF,0052,富邦科技,twse,2025-11-15
ETF,0053,元大電子,twse,2025-11-15
ETF,0054,元大台商50,twse,2025-11-07
ETF,0055,元大MSCI金融,twse,2025-11-15
ETF,0056,元大高股息,twse,2025-11-15
ETF,0057,富邦摩台,twse,2025-11-15
ETF,0058,富邦發達,twse,2025-11-07
ETF,0059,富邦金融,twse,2025-11-07
ETF,0060,新台灣,twse,2024-12-05
ETF,0061,元大寶滬深,twse,2025-11-15
上櫃ETF,006201,元大富櫃50,tpex,2025-11-14
上櫃指數股票型基金(ETF),006201,元大富櫃50,tpex,2024-12-31
ETF,006203,元大MSCI台灣,twse,2025-11-15
ETF,006204,永豐臺灣加權,twse,2025-11-15
ETF,006205,富邦上証,twse,2025-11-15
ETF,006206,元大上證50,twse,2025-11-15
ETF,006207,復華滬深,twse,2025-11-15
ETF,006208,富邦台50,twse,2025-11-15
ETF,00625K,富邦上証+R,twse,2025-11-15
ETF,00631L,元大台灣50正2,twse,2025-11-15
ETF,00632R,元大台灣50反1,twse,2025-11-15
ETF,00633L,富邦上証正2,twse,2025-11-15
ETF,00634R,富邦上証反1,twse,2025-11-15
ETF,00635U,期元大S&P黃金,twse,2025-11-15
ETF,00636,國泰中國A50,twse,2025-11-15
ETF,00636K,國泰中國A50+U,twse,2025-11-15
ETF,00637L,元大滬深300正2,twse,2025-11-15
ETF,00638R,元大滬深300反1,twse,2025-11-15
ETF,00639,富邦深100,twse,2025-11-15
ETF,00640L,富邦日本正2,twse,2025-11-15
ETF,00641R,富邦日本反1,twse,2025-11-15
ETF,00642U,期元大S&P石油,twse,2025-11-15
ETF,00643,群益深証中小,twse,2025-11-15
ETF,00643K,群益深証中小+R,twse,2025-11-15
ETF,00645,富邦日本,twse,2025-11-15
ETF,00646,元大S&P500,twse,2025-11-15
ETF,00647L,元大S&P500正2,twse,2025-11-15
ETF,00648R,元大S&P500反1,twse,2025-11-15
ETF,00649,FH香港,twse,2025-11-07
ETF,00650L,復華香港正2,twse,2025-11-15
ETF,00651R,復華香港反1,twse,2025-11-15
ETF,00652,富邦印度,twse,2025-11-15
ETF,00653L,富邦印度正2,twse,2025-11-15
ETF,00654R,富邦印度反1,twse,2025-11-15
ETF,00655L,國泰中國A50正2,twse,2025-11-15
